service_id,batch_weight_kg,cooling_hours,electricity_kwh_rate,price
1,500,24,0.098,1.815
1,1000,24,0.098,1.732
1,2000,24,0.098,1.732
1,5000,24,0.098,1.683
2,500,24,0.098,1.980
2,1000,24,0.098,1.881
2,2000,24,0.098,1.881
2,5000,24,0.098,1.830
1,500,48,0.098,1.836
1,1000,48,0.098,1.738
1,2000,48,0.098,1.738
1,5000,48,0.098,1.690
2,500,48,0.098,1.994
2,1000,48,0.098,1.890
2,2000,48,0.098,1.890
2,5000,48,0.098,1.841
1,500,72,0.098,1.843
1,1000,72,0.098,1.744
1,2000,72,0.098,1.744
1,5000,72,0.098,1.696
2,500,72,0.098,2.008
2,1000,72,0.098,1.897
2,2000,72,0.098,1.897
2,5000,72,0.098,1.851
1,500,24,0.099,1.870
1,1000,24,0.099,1.785
1,2000,24,0.099,1.785
1,5000,24,0.099,1.734
2,500,24,0.099,2.040
2,1000,24,0.099,1.938
2,2000,24,0.099,1.938
2,5000,24,0.099,1.886
1,500,48,0.099,1.892
1,1000,48,0.099,1.790
1,2000,48,0.099,1.790
1,5000,48,0.099,1.741
2,500,48,0.099,2.054
2,1000,48,0.099,1.947
2,2000,48,0.099,1.947
2,5000,48,0.099,1.896
1,500,72,0.099,1.899
1,1000,72,0.099,1.796
1,2000,72,0.099,1.796
1,5000,72,0.099,1.747
2,500,72,0.099,2.068
2,1000,72,0.099,1.954
2,2000,72,0.099,1.954
2,5000,72,0.099,1.906
1,500,24,0.100,2.035
1,1000,24,0.100,1.943
1,2000,24,0.100,1.943
1,5000,24,0.100,1.887
2,500,24,0.100,2.220
2,1000,24,0.100,2.109
2,2000,24,0.100,2.109
2,5000,24,0.100,2.052
1,500,48,0.100,2.060
1,1000,48,0.100,1.949
1,2000,48,0.100,1.949
1,5000,48,0.100,1.894
2,500,48,0.100,2.234
2,1000,48,0.100,2.116
2,2000,48,0.100,2.116
2,5000,48,0.100,2.058
1,500,72,0.100,2.067
1,1000,72,0.100,1.956
1,2000,72,0.100,1.956
1,5000,72,0.100,1.901
2,500,72,0.100,2.248
2,1000,72,0.100,2.122
2,2000,72,0.100,2.122
2,5000,72,0.100,2.064
1,500,24,0.102,2.310
1,1000,24,0.102,2.205
1,2000,24,0.102,2.205
1,5000,24,0.102,2.142
2,500,24,0.102,2.520
2,1000,24,0.102,2.394
2,2000,24,0.102,2.394
2,5000,24,0.102,2.328
1,500,48,0.102,2.338
1,1000,48,0.102,2.212
1,2000,48,0.102,2.212
1,5000,48,0.102,2.150
2,500,48,0.102,2.538
2,1000,48,0.102,2.402
2,2000,48,0.102,2.402
2,5000,48,0.102,2.336
1,500,72,0.102,2.346
1,1000,72,0.102,2.219
1,2000,72,0.102,2.219
1,5000,72,0.102,2.157
2,500,72,0.102,2.556
2,1000,72,0.102,2.409
2,2000,72,0.102,2.409
2,5000,72,0.102,2.344
1,500,24,0.103,2.530
1,1000,24,0.103,2.415
1,2000,24,0.103,2.415
1,5000,24,0.103,2.346
2,500,24,0.103,2.760
2,1000,24,0.103,2.622
2,2000,24,0.103,2.622
2,5000,24,0.103,2.550
