service_id,batch_volume_qq,fuel_cost_per_liter,price
1,50,0.52,104.04
1,100,0.52,101.58
1,150,0.52,103.04
1,200,0.52,99.28
2,50,0.52,116.28
2,100,0.52,112.29
2,150,0.52,114.48
2,200,0.52,110.96
3,50,0.52,128.52
3,100,0.52,124.11
3,150,0.52,126.63
3,200,0.52,122.64
1,50,0.54,100.47
1,100,0.54,103.83
1,150,0.54,97.79
1,200,0.54,100.43
2,50,0.54,112.29
2,100,0.54,116.21
2,150,0.54,109.27
2,200,0.54,112.36
3,50,0.54,124.11
3,100,0.54,128.52
3,150,0.54,120.33
3,200,0.54,124.11
1,50,0.55,102.43
1,100,0.55,104.23
1,150,0.55,98.72
1,200,0.55,101.44
2,50,0.55,114.48
2,100,0.55,116.28
2,150,0.55,110.24
2,200,0.55,113.24
3,50,0.55,126.53
3,100,0.55,128.52
3,150,0.55,121.89
3,200,0.55,125.23
1,50,0.58,99.28
1,100,0.58,97.28
1,150,0.58,101.69
1,200,0.58,97.15
2,50,0.58,110.96
2,100,0.58,108.68
2,150,0.58,113.65
2,200,0.58,108.50
3,50,0.58,122.64
3,100,0.58,120.13
3,150,0.58,125.66
3,200,0.58,120.16
1,50,0.61,102.94
1,100,0.61,100.76
1,150,0.61,104.54
1,200,0.61,99.29
2,50,0.61,115.05
2,100,0.61,112.45
2,150,0.61,116.88
2,200,0.61,111.12
3,50,0.61,127.16
3,100,0.61,124.46
3,150,0.61,129.12
3,200,0.61,122.78
1,50,0.60,98.01
1,100,0.60,102.19
1,150,0.60,99.49
1,200,0.60,97.15
2,50,0.60,109.43
2,100,0.60,114.37
2,150,0.60,111.13
2,200,0.60,108.55
3,50,0.60,121.06
3,100,0.60,126.47
3,150,0.60,122.90
3,200,0.60,120.08
1,50,0.62,95.20
1,100,0.62,99.47
1,150,0.62,94.39
1,200,0.62,96.95
2,50,0.62,106.40
2,100,0.62,111.22
2,150,0.62,105.48
2,200,0.62,108.41
3,50,0.62,117.60
3,100,0.62,122.94
3,150,0.62,116.62
3,200,0.62,119.79
1,50,0.63,92.14
1,100,0.63,95.61
1,150,0.63,93.50
1,200,0.63,90.27
2,50,0.63,102.98
2,100,0.63,106.76
2,150,0.63,104.42
2,200,0.63,100.98
3,50,0.63,113.82
3,100,0.63,118.08
3,150,0.63,115.48
3,200,0.63,111.58
1,50,0.65,86.02
1,100,0.65,88.58
1,150,0.65,86.90
1,200,0.65,87.07
2,50,0.65,96.14
2,100,0.65,98.93
2,150,0.65,97.09
2,200,0.65,97.34
3,50,0.65,106.26
3,100,0.65,109.42
3,150,0.65,107.33
3,200,0.65,107.61
1,50,0.66,93.93
1,100,0.66,94.14
1,150,0.66,95.94
1,200,0.66,95.42
2,50,0.66,104.98
2,100,0.66,105.21
2,150,0.66,107.22
2,200,0.66,106.64
3,50,0.66,116.03
3,100,0.66,116.28
3,150,0.66,118.50
3,200,0.66,117.86
1,50,0.58,87.01
1,100,0.58,89.07
1,150,0.58,85.22
1,200,0.58,87.52
2,50,0.58,97.30
2,100,0.58,99.38
2,150,0.58,95.26
2,200,0.58,97.82
3,50,0.58,107.48
3,100,0.58,109.86
3,150,0.58,105.26
3,200,0.58,108.13
1,50,0.59,89.08
1,100,0.59,86.65
1,150,0.59,88.18
1,200,0.59,90.32
2,50,0.59,99.56
2,100,0.59,96.74
2,150,0.59,98.56
2,200,0.59,100.89
3,50,0.59,110.04
3,100,0.59,106.98
3,150,0.59,108.94
3,200,0.59,111.50
1,50,0.61,85.17
1,100,0.61,86.19
1,150,0.61,87.35
1,200,0.61,86.13
2,50,0.61,95.22
2,100,0.61,96.24
2,150,0.61,97.60
2,200,0.61,96.15
3,50,0.61,105.16
3,100,0.61,106.27
3,150,0.61,107.90
3,200,0.61,106.21
1,50,0.63,83.73
1,100,0.63,84.76
1,150,0.63,85.22
1,200,0.63,85.43
2,50,0.63,93.49
2,100,0.63,94.69
2,150,0.63,95.24
2,200,0.63,95.44
3,50,0.63,103.42
3,100,0.63,104.71
3,150,0.63,105.34
3,200,0.63,105.51
1,50,0.65,80.00
1,100,0.65,79.78
1,150,0.65,79.74
1,200,0.65,81.53
2,50,0.65,89.24
2,100,0.65,89.05
2,150,0.65,88.93
2,200,0.65,91.02
3,50,0.65,98.77
3,100,0.65,98.39
3,150,0.65,98.27
3,200,0.65,100.65
1,50,0.64,78.88
1,100,0.64,79.72
1,150,0.64,80.81
1,200,0.64,78.12
2,50,0.64,88.16
2,100,0.64,88.98
2,150,0.64,90.28
2,200,0.64,87.26
3,50,0.64,97.44
3,100,0.64,98.40
3,150,0.64,99.74
3,200,0.64,96.39
1,50,0.62,84.49
1,100,0.62,84.55
1,150,0.62,84.48
1,200,0.62,82.98
2,50,0.62,94.38
2,100,0.62,94.30
2,150,0.62,94.23
2,200,0.62,92.76
3,50,0.62,104.33
3,100,0.62,104.31
3,150,0.62,104.30
3,200,0.62,102.69
1,50,0.64,89.34
1,100,0.64,87.83
1,150,0.64,87.76
1,200,0.64,90.98
2,50,0.64,99.86
2,100,0.64,98.18
2,150,0.64,98.11
2,200,0.64,101.65
3,50,0.64,110.38
3,100,0.64,108.49
3,150,0.64,108.42
3,200,0.64,112.33
1,50,0.61,81.82
1,100,0.61,80.69
1,150,0.61,82.05
1,200,0.61,83.52
2,50,0.61,91.32
2,100,0.61,90.16
2,150,0.61,91.58
2,200,0.61,93.30
3,50,0.61,100.97
3,100,0.61,99.63
3,150,0.61,101.25
3,200,0.61,103.12
1,50,0.60,83.30
1,100,0.60,84.51
1,150,0.60,82.61
1,200,0.60,85.33
2,50,0.60,93.12
2,100,0.60,94.40
2,150,0.60,92.32
2,200,0.60,95.29
3,50,0.60,102.94
3,100,0.60,104.42
3,150,0.60,102.04
3,200,0.60,105.44
1,50,0.59,87.13
1,100,0.59,87.19
1,150,0.59,86.76
1,200,0.59,87.24
2,50,0.59,97.38
2,100,0.59,97.39
2,150,0.59,96.84
2,200,0.59,97.45
