equipment_type,hours_requested,fuel_cost_per_liter,price
1,4,0.52,150.00
1,8,0.52,142.50
1,12,0.52,138.00
1,24,0.52,126.00
2,4,0.52,210.00
2,8,0.52,199.50
2,12,0.52,193.20
2,24,0.52,176.40
3,4,0.52,270.00
3,8,0.52,256.50
3,12,0.52,248.40
3,24,0.52,226.80
1,4,0.54,155.00
1,8,0.54,147.25
1,12,0.54,142.60
1,24,0.54,130.20
2,4,0.54,217.00
2,8,0.54,206.15
2,12,0.54,199.64
2,24,0.54,182.28
3,4,0.54,279.00
3,8,0.54,265.05
3,12,0.54,256.68
3,24,0.54,234.36
1,4,0.55,158.00
1,8,0.55,150.10
1,12,0.55,145.36
1,24,0.55,132.72
2,4,0.55,221.20
2,8,0.55,210.14
2,12,0.55,203.50
2,24,0.55,185.80
3,4,0.55,284.40
3,8,0.55,270.18
3,12,0.55,261.65
3,24,0.55,238.86
1,4,0.58,166.00
1,8,0.58,157.70
1,12,0.58,152.72
1,24,0.58,139.44
2,4,0.58,232.40
2,8,0.58,220.78
2,12,0.58,213.81
2,24,0.58,195.22
3,4,0.58,298.80
3,8,0.58,283.86
3,12,0.58,274.90
3,24,0.58,250.99
1,4,0.61,177.00
1,8,0.61,168.15
1,12,0.61,162.84
1,24,0.61,148.68
2,4,0.61,247.80
2,8,0.61,235.41
2,12,0.61,227.98
2,24,0.61,208.15
3,4,0.61,318.60
3,8,0.61,302.67
3,12,0.61,293.11
3,24,0.61,267.62
1,4,0.60,181.00
1,8,0.60,171.95
1,12,0.60,166.52
1,24,0.60,152.04
2,4,0.60,253.40
2,8,0.60,240.73
2,12,0.60,233.13
2,24,0.60,212.86
3,4,0.60,325.80
3,8,0.60,309.51
3,12,0.60,299.74
3,24,0.60,273.67
1,4,0.62,193.00
1,8,0.62,183.35
1,12,0.62,177.56
1,24,0.62,162.12
2,4,0.62,270.20
2,8,0.62,256.69
2,12,0.62,248.58
2,24,0.62,226.97
3,4,0.62,347.40
3,8,0.62,330.03
3,12,0.62,319.61
3,24,0.62,291.82
1,4,0.63,208.00
1,8,0.63,197.60
1,12,0.63,191.36
1,24,0.63,174.72
2,4,0.63,291.20
2,8,0.63,276.64
2,12,0.63,267.90
2,24,0.63,244.61
3,4,0.63,374.40
3,8,0.63,355.68
3,12,0.63,344.45
3,24,0.63,314.50
1,4,0.65,220.00
1,8,0.65,209.00
1,12,0.65,202.40
1,24,0.65,184.80
2,4,0.65,308.00
2,8,0.65,292.60
2,12,0.65,283.36
2,24,0.65,258.72
3,4,0.65,396.00
3,8,0.65,376.20
3,12,0.65,364.32
3,24,0.65,332.64
1,4,0.66,225.00
1,8,0.66,213.75
1,12,0.66,207.00
1,24,0.66,189.00
2,4,0.66,315.00
2,8,0.66,299.25
2,12,0.66,289.80
2,24,0.66,264.60
3,4,0.66,405.00
3,8,0.66,384.75
3,12,0.66,372.60
3,24,0.66,340.20
1,4,0.58,262.00
1,8,0.58,248.90
1,12,0.58,241.04
1,24,0.58,220.08
2,4,0.58,366.80
2,8,0.58,348.46
2,12,0.58,337.46
2,24,0.58,308.11
3,4,0.58,471.60
3,8,0.58,448.02
3,12,0.58,433.87
3,24,0.58,396.14
1,4,0.59,287.00
1,8,0.59,272.65
1,12,0.59,264.04
1,24,0.59,241.08
2,4,0.59,401.80
2,8,0.59,381.71
2,12,0.59,369.66
2,24,0.59,337.51
3,4,0.59,516.60
3,8,0.59,490.77
3,12,0.59,475.27
3,24,0.59,433.94
1,4,0.61,295.00
1,8,0.61,280.25
1,12,0.61,271.40
1,24,0.61,247.80
2,4,0.61,413.00
2,8,0.61,392.35
2,12,0.61,379.96
2,24,0.61,346.92
3,4,0.61,531.00
3,8,0.61,504.45
3,12,0.61,488.52
3,24,0.61,446.04
1,4,0.63,316.00
1,8,0.63,300.20
1,12,0.63,290.72
1,24,0.63,265.44
2,4,0.63,442.40
2,8,0.63,420.28
2,12,0.63,407.01
2,24,0.63,371.62
3,4,0.63,568.80
3,8,0.63,540.36
3,12,0.63,523.30
3,24,0.63,477.79
1,4,0.65,335.00
1,8,0.65,318.25
1,12,0.65,308.20
1,24,0.65,281.40
2,4,0.65,469.00
2,8,0.65,445.55
2,12,0.65,431.48
2,24,0.65,393.96
3,4,0.65,603.00
3,8,0.65,572.85
3,12,0.65,554.76
3,24,0.65,506.52
1,4,0.64,339.00
1,8,0.64,322.05
1,12,0.64,311.88
1,24,0.64,284.76
2,4,0.64,474.60
2,8,0.64,450.87
2,12,0.64,436.63
2,24,0.64,398.66
3,4,0.64,610.20
